{'BatchDate': '2020-01-26 15:22:17', 'StartingDate': '2020-01-26 15:17:13', 'EndingDate': '2020-01-26 15:21:53', 'Delay': '0h4min', 'nRT': 328, 'nInf': 136, 'nFam': 153, 'nUse': 308}
{'BatchDate': '2020-01-26 17:15:18', 'StartingDate': '2020-01-26 15:21:55', 'EndingDate': '2020-01-26 17:15:05', 'Delay': '1h53min', 'nRT': 7245, 'nInf': 990, 'nFam': 1210, 'nUse': 5671}
{'BatchDate': '2020-01-26 17:43:40', 'StartingDate': '2020-01-26 17:15:06', 'EndingDate': '2020-01-26 17:43:28', 'Delay': '0h28min', 'nRT': 1938, 'nInf': 424, 'nFam': 508, 'nUse': 1551}
{'BatchDate': '2020-01-26 18:30:03', 'StartingDate': '2020-01-26 17:43:28', 'EndingDate': '2020-01-26 18:29:54', 'Delay': '0h46min', 'nRT': 2759, 'nInf': 519, 'nFam': 612, 'nUse': 2305}
{'BatchDate': '2020-01-26 19:10:59', 'StartingDate': '2020-01-26 18:29:54', 'EndingDate': '2020-01-26 19:10:47', 'Delay': '0h40min', 'nRT': 2838, 'nInf': 523, 'nFam': 609, 'nUse': 2348}
{'BatchDate': '2020-01-26 19:40:34', 'StartingDate': '2020-01-26 19:10:47', 'EndingDate': '2020-01-26 19:40:19', 'Delay': '0h29min', 'nRT': 2098, 'nInf': 434, 'nFam': 523, 'nUse': 1752}
{'BatchDate': '2020-01-26 22:07:32', 'StartingDate': '2020-01-26 19:40:24', 'EndingDate': '2020-01-26 22:06:57', 'Delay': '2h26min', 'nRT': 8380, 'nInf': 1073, 'nFam': 1340, 'nUse': 6431}
{'BatchDate': '2020-01-27 09:32:43', 'StartingDate': '2020-01-26 22:07:05', 'EndingDate': '2020-01-27 09:32:33', 'Delay': '11h25min', 'nRT': 16006, 'nInf': 1586, 'nFam': 2015, 'nUse': 11787}
{'BatchDate': '2020-01-27 19:16:42', 'StartingDate': '2020-01-27 09:32:37', 'EndingDate': '2020-01-27 19:16:27', 'Delay': '9h43min', 'nRT': 31373, 'nInf': 2374, 'nFam': 3066, 'nUse': 23086}
{'BatchDate': '2020-01-28 22:37:15', 'StartingDate': '2020-01-27 19:16:28', 'EndingDate': '2020-01-28 22:36:54', 'Delay': '27h20min', 'nRT': 89088, 'nInf': 4598, 'nFam': 6346, 'nUse': 58169}
{'BatchDate': '2020-01-29 01:16:56', 'StartingDate': '2020-01-28 22:36:54', 'EndingDate': '2020-01-29 01:16:38', 'Delay': '2h39min', 'nRT': 9112, 'nInf': 1115, 'nFam': 1337, 'nUse': 7462}
{'BatchDate': '2020-01-29 20:05:59', 'StartingDate': '2020-01-29 01:16:39', 'EndingDate': '2020-01-29 20:05:39', 'Delay': '18h49min', 'nRT': 64653, 'nInf': 4336, 'nFam': 5964, 'nUse': 39049}
{'BatchDate': '2020-01-30 00:22:55', 'StartingDate': '2020-01-29 20:05:39', 'EndingDate': '2020-01-30 00:15:02', 'Delay': '4h9min', 'nRT': 20377, 'nInf': 2159, 'nFam': 2737, 'nUse': 13720}
