{'NoldRTDF': 266229, 'NnewRTDF': 15518, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-02 12:57:04', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-02 12:57:04'}
{'NoldRTDF': 270595, 'NnewRTDF': 19884, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-02 13:57:03', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-02 13:57:03'}
{'NoldRTDF': 275408, 'NnewRTDF': 24697, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-02 14:57:03', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-02 14:57:03'}
{'NoldRTDF': 280294, 'NnewRTDF': 29583, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-02 15:57:00', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-02 15:57:00'}
{'NoldRTDF': 287545, 'NnewRTDF': 36834, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-02 16:57:03', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-02 16:57:03'}
{'NoldRTDF': 295869, 'NnewRTDF': 45158, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-02 17:57:04', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-02 17:57:04'}
{'NoldRTDF': 304335, 'NnewRTDF': 53624, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-02 18:57:02', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-02 18:57:02'}
{'NoldRTDF': 313156, 'NnewRTDF': 62445, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-02 19:57:10', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-02 19:57:10'}
{'NoldRTDF': 314196, 'NnewRTDF': 63520, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-02 20:57:08', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-02 20:57:08'}
{'NoldRTDF': 320056, 'NnewRTDF': 69380, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-02 21:57:09', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-02 21:57:09'}
{'NoldRTDF': 326451, 'NnewRTDF': 75775, 'FirstDateOld': '2020-01-30 00:25:17', 'LastDateOld': '2020-02-02 22:57:11', 'FirstDateNew': '2020-02-02 08:25:18', 'LastDateNew': '2020-02-02 22:57:11'}
