{'DateRun': '2020-01-30 00:52:39', 'FirstBassineID': 54873, 'DateLastAction': '2020-01-30 00:52:15', 'NQualifiedRTA': 312, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 0}
{'DateRun': '2020-01-30 01:00:55', 'FirstBassineID': 54873, 'DateLastAction': '2020-01-30 01:00:33', 'NQualifiedRTA': 399, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 0}
{'DateRun': '2020-01-30 01:16:21', 'FirstBassineID': 54873, 'DateLastAction': '2020-01-30 01:15:58', 'NQualifiedRTA': 595, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 0}
{'DateRun': '2020-01-30 01:43:00', 'FirstBassineID': 54873, 'DateLastAction': '2020-01-30 01:42:34', 'NQualifiedRTA': 890, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 0}
{'DateRun': '2020-01-30 01:54:36', 'FirstBassineID': 54873, 'DateLastAction': '2020-01-30 01:54:13', 'NQualifiedRTA': 1027, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 0}
{'DateRun': '2020-01-30 01:57:22', 'FirstBassineID': 54873, 'DateLastAction': '2020-01-30 01:56:58', 'NQualifiedRTA': 1060, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 0}
{'DateRun': '2020-01-30 02:57:21', 'FirstBassineID': 54873, 'DateLastAction': '2020-01-30 02:56:59', 'NQualifiedRTA': 1571, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 0}
{'DateRun': '2020-01-30 03:57:20', 'FirstBassineID': 54873, 'DateLastAction': '2020-01-30 03:56:58', 'NQualifiedRTA': 1864, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 0}
{'DateRun': '2020-01-30 04:57:20', 'FirstBassineID': 54873, 'DateLastAction': '2020-01-30 04:56:54', 'NQualifiedRTA': 2111, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 0}
{'DateRun': '2020-01-30 05:57:20', 'FirstBassineID': 54873, 'DateLastAction': '2020-01-30 05:56:53', 'NQualifiedRTA': 2377, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 0}
{'DateRun': '2020-01-30 06:57:22', 'FirstBassineID': 54873, 'DateLastAction': '2020-01-30 06:56:59', 'NQualifiedRTA': 3065, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 0}
